doc_id,filename,year,cosl_decade,raw_word_count,term,pattern,count
14_subordinate_legislation_12_2006,14_Subordinate_Legislation_12_2006.txt,2006,2004-2013,5976,recruitment,\brecruitment\b,17
14_subordinate_legislation_13_2006,14_Subordinate_Legislation_13_2006.txt,2006,2004-2013,3998,delay_exact,\bdelay\b,8
14_subordinate_legislation_13_2006,14_Subordinate_Legislation_13_2006.txt,2006,2004-2013,3998,delay_family,\b(delays?|delayed|delaying)\b,12
14_subordinate_legislation_13_2006,14_Subordinate_Legislation_13_2006.txt,2006,2004-2013,3998,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_13_2006,14_Subordinate_Legislation_13_2006.txt,2006,2004-2013,3998,recruitment,\brecruitment\b,10
14_subordinate_legislation_14_2006,14_Subordinate_Legislation_14_2006.txt,2006,2004-2013,4075,delay_exact,\bdelay\b,6
14_subordinate_legislation_14_2006,14_Subordinate_Legislation_14_2006.txt,2006,2004-2013,4075,delay_family,\b(delays?|delayed|delaying)\b,7
14_subordinate_legislation_14_2006,14_Subordinate_Legislation_14_2006.txt,2006,2004-2013,4075,action_taken,\baction\s+taken\b,11
14_subordinate_legislation_14_2006,14_Subordinate_Legislation_14_2006.txt,2006,2004-2013,4075,recruitment,\brecruitment\b,6
14_subordinate_legislation_15_2007,14_Subordinate_Legislation_15_2007.txt,2007,2004-2013,5545,delay_exact,\bdelay\b,2
14_subordinate_legislation_15_2007,14_Subordinate_Legislation_15_2007.txt,2007,2004-2013,5545,delay_family,\b(delays?|delayed|delaying)\b,2
14_subordinate_legislation_15_2007,14_Subordinate_Legislation_15_2007.txt,2007,2004-2013,5545,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_15_2007,14_Subordinate_Legislation_15_2007.txt,2007,2004-2013,5545,recruitment,\brecruitment\b,17
14_subordinate_legislation_16_2007,14_Subordinate_Legislation_16_2007.txt,2007,2004-2013,6197,delay_exact,\bdelay\b,5
14_subordinate_legislation_16_2007,14_Subordinate_Legislation_16_2007.txt,2007,2004-2013,6197,delay_family,\b(delays?|delayed|delaying)\b,5
14_subordinate_legislation_16_2007,14_Subordinate_Legislation_16_2007.txt,2007,2004-2013,6197,action_taken,\baction\s+taken\b,2
14_subordinate_legislation_16_2007,14_Subordinate_Legislation_16_2007.txt,2007,2004-2013,6197,recruitment,\brecruitment\b,6
14_subordinate_legislation_17_2007,14_Subordinate_Legislation_17_2007.txt,2007,2004-2013,5282,delay_exact,\bdelay\b,0
14_subordinate_legislation_17_2007,14_Subordinate_Legislation_17_2007.txt,2007,2004-2013,5282,delay_family,\b(delays?|delayed|delaying)\b,0
14_subordinate_legislation_17_2007,14_Subordinate_Legislation_17_2007.txt,2007,2004-2013,5282,action_taken,\baction\s+taken\b,2
14_subordinate_legislation_17_2007,14_Subordinate_Legislation_17_2007.txt,2007,2004-2013,5282,recruitment,\brecruitment\b,0
14_subordinate_legislation_18_2007,14_Subordinate_Legislation_18_2007.txt,2007,2004-2013,7520,delay_exact,\bdelay\b,10
14_subordinate_legislation_18_2007,14_Subordinate_Legislation_18_2007.txt,2007,2004-2013,7520,delay_family,\b(delays?|delayed|delaying)\b,10
14_subordinate_legislation_18_2007,14_Subordinate_Legislation_18_2007.txt,2007,2004-2013,7520,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_18_2007,14_Subordinate_Legislation_18_2007.txt,2007,2004-2013,7520,recruitment,\brecruitment\b,0
14_subordinate_legislation_19_2008,14_Subordinate_Legislation_19_2008.txt,2008,2004-2013,6983,delay_exact,\bdelay\b,0
14_subordinate_legislation_19_2008,14_Subordinate_Legislation_19_2008.txt,2008,2004-2013,6983,delay_family,\b(delays?|delayed|delaying)\b,0
14_subordinate_legislation_19_2008,14_Subordinate_Legislation_19_2008.txt,2008,2004-2013,6983,action_taken,\baction\s+taken\b,2
14_subordinate_legislation_19_2008,14_Subordinate_Legislation_19_2008.txt,2008,2004-2013,6983,recruitment,\brecruitment\b,43
14_subordinate_legislation_1_2004,14_Subordinate_Legislation_1_2004.txt,2004,2004-2013,13129,delay_exact,\bdelay\b,4
14_subordinate_legislation_1_2004,14_Subordinate_Legislation_1_2004.txt,2004,2004-2013,13129,delay_family,\b(delays?|delayed|delaying)\b,4
14_subordinate_legislation_1_2004,14_Subordinate_Legislation_1_2004.txt,2004,2004-2013,13129,action_taken,\baction\s+taken\b,6
14_subordinate_legislation_1_2004,14_Subordinate_Legislation_1_2004.txt,2004,2004-2013,13129,recruitment,\brecruitment\b,0
14_subordinate_legislation_20_2008,14_Subordinate_Legislation_20_2008.txt,2008,2004-2013,12715,delay_exact,\bdelay\b,0
14_subordinate_legislation_20_2008,14_Subordinate_Legislation_20_2008.txt,2008,2004-2013,12715,delay_family,\b(delays?|delayed|delaying)\b,0
14_subordinate_legislation_20_2008,14_Subordinate_Legislation_20_2008.txt,2008,2004-2013,12715,action_taken,\baction\s+taken\b,2
14_subordinate_legislation_20_2008,14_Subordinate_Legislation_20_2008.txt,2008,2004-2013,12715,recruitment,\brecruitment\b,2
14_subordinate_legislation_21_2008,14_Subordinate_Legislation_21_2008.txt,2008,2004-2013,9849,delay_exact,\bdelay\b,45
14_subordinate_legislation_21_2008,14_Subordinate_Legislation_21_2008.txt,2008,2004-2013,9849,delay_family,\b(delays?|delayed|delaying)\b,55
14_subordinate_legislation_21_2008,14_Subordinate_Legislation_21_2008.txt,2008,2004-2013,9849,action_taken,\baction\s+taken\b,2
14_subordinate_legislation_21_2008,14_Subordinate_Legislation_21_2008.txt,2008,2004-2013,9849,recruitment,\brecruitment\b,26
14_subordinate_legislation_22_2008,14_Subordinate_Legislation_22_2008.txt,2008,2004-2013,8741,delay_exact,\bdelay\b,16
14_subordinate_legislation_22_2008,14_Subordinate_Legislation_22_2008.txt,2008,2004-2013,8741,delay_family,\b(delays?|delayed|delaying)\b,18
14_subordinate_legislation_22_2008,14_Subordinate_Legislation_22_2008.txt,2008,2004-2013,8741,action_taken,\baction\s+taken\b,4
14_subordinate_legislation_22_2008,14_Subordinate_Legislation_22_2008.txt,2008,2004-2013,8741,recruitment,\brecruitment\b,7
14_subordinate_legislation_24_2009,14_Subordinate_Legislation_24_2009.txt,2009,2004-2013,7477,delay_exact,\bdelay\b,21
14_subordinate_legislation_24_2009,14_Subordinate_Legislation_24_2009.txt,2009,2004-2013,7477,delay_family,\b(delays?|delayed|delaying)\b,27
14_subordinate_legislation_24_2009,14_Subordinate_Legislation_24_2009.txt,2009,2004-2013,7477,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_24_2009,14_Subordinate_Legislation_24_2009.txt,2009,2004-2013,7477,recruitment,\brecruitment\b,8
14_subordinate_legislation_25_2009,14_Subordinate_Legislation_25_2009.txt,2009,2004-2013,3847,delay_exact,\bdelay\b,37
14_subordinate_legislation_25_2009,14_Subordinate_Legislation_25_2009.txt,2009,2004-2013,3847,delay_family,\b(delays?|delayed|delaying)\b,43
14_subordinate_legislation_25_2009,14_Subordinate_Legislation_25_2009.txt,2009,2004-2013,3847,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_25_2009,14_Subordinate_Legislation_25_2009.txt,2009,2004-2013,3847,recruitment,\brecruitment\b,0
14_subordinate_legislation_2_2004,14_Subordinate_Legislation_2_2004.txt,2004,2004-2013,3327,delay_exact,\bdelay\b,0
14_subordinate_legislation_2_2004,14_Subordinate_Legislation_2_2004.txt,2004,2004-2013,3327,delay_family,\b(delays?|delayed|delaying)\b,0
14_subordinate_legislation_2_2004,14_Subordinate_Legislation_2_2004.txt,2004,2004-2013,3327,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_2_2004,14_Subordinate_Legislation_2_2004.txt,2004,2004-2013,3327,recruitment,\brecruitment\b,36
14_subordinate_legislation_3_2005,14_Subordinate_Legislation_3_2005.txt,2005,2004-2013,5830,delay_exact,\bdelay\b,48
14_subordinate_legislation_3_2005,14_Subordinate_Legislation_3_2005.txt,2005,2004-2013,5830,delay_family,\b(delays?|delayed|delaying)\b,51
14_subordinate_legislation_3_2005,14_Subordinate_Legislation_3_2005.txt,2005,2004-2013,5830,action_taken,\baction\s+taken\b,3
14_subordinate_legislation_3_2005,14_Subordinate_Legislation_3_2005.txt,2005,2004-2013,5830,recruitment,\brecruitment\b,0
14_subordinate_legislation_4_2005,14_Subordinate_Legislation_4_2005.txt,2005,2004-2013,5964,delay_exact,\bdelay\b,19
