term,pattern,year,total_count,n_reports,total_words,total_instruments,per_10000_words,count_per_report,count_per_instrument
delay_exact,\bdelay\b,1995,87,5,65389,,13.304990135955588,17.4,
delay_exact,\bdelay\b,1996,9,2,19869,,4.5296693341386085,4.5,
delay_exact,\bdelay\b,1997,56,8,64189,,8.72423623985418,7.0,
delay_exact,\bdelay\b,1998,25,2,20226,,12.36032829031939,12.5,
delay_exact,\bdelay\b,1999,97,2,25571,,37.93359665245786,48.5,
delay_exact,\bdelay\b,2000,34,3,32743,,10.383898848608862,11.333333333333334,
delay_exact,\bdelay\b,2001,16,3,14892,,10.744023636852,5.333333333333333,
delay_exact,\bdelay\b,2002,18,5,21041,,8.554726486383727,3.6,
delay_exact,\bdelay\b,2003,44,4,18677,,23.558387321304277,11.0,
delay_exact,\bdelay\b,2004,4,2,16456,,2.430724355858046,2.0,
delay_exact,\bdelay\b,2005,116,8,51005,,22.742868346240563,14.5,
delay_exact,\bdelay\b,2006,21,4,17973,,11.684192956100818,5.25,
delay_exact,\bdelay\b,2007,17,4,24544,,6.926336375488918,4.25,
delay_exact,\bdelay\b,2008,92,7,51245,,17.95297102156308,13.142857142857142,
delay_exact,\bdelay\b,2009,58,2,11324,,51.21865065347934,29.0,
delay_exact,\bdelay\b,2010,67,12,49393,,13.56467515639868,5.583333333333333,
delay_exact,\bdelay\b,2011,136,7,35581,,38.22264691829909,19.428571428571427,
delay_exact,\bdelay\b,2012,51,6,27301,,18.680634408996006,8.5,
delay_exact,\bdelay\b,2013,61,9,47755,,12.773531567375144,6.777777777777778,
delay_exact,\bdelay\b,2014,69,5,29467,,23.416024705602876,13.8,
delay_exact,\bdelay\b,2015,40,8,44178,,9.05428041106433,5.0,
delay_exact,\bdelay\b,2016,16,7,67043,,2.386528049162478,2.2857142857142856,
delay_exact,\bdelay\b,2017,10,8,42089,,2.375917698210934,1.25,
delay_exact,\bdelay\b,2018,36,12,96175,,3.743176501169742,3.0,
delay_exact,\bdelay\b,2019,4,7,53632,,0.7458233890214797,0.5714285714285714,
delay_exact,\bdelay\b,2020,24,7,43400,,5.529953917050691,3.4285714285714284,
delay_exact,\bdelay\b,2021,28,7,34659,,8.078709714648431,4.0,
delay_exact,\bdelay\b,2022,118,11,68448,,17.239364188873306,10.727272727272727,
delay_exact,\bdelay\b,2023,97,12,77744,,12.476847087878165,8.083333333333334,
delay_family,\b(delays?|delayed|delaying)\b,1954,17,2,21568,,7.882047477744807,8.5,
delay_family,\b(delays?|delayed|delaying)\b,1955,14,1,15784,,8.869741510390268,14.0,
delay_family,\b(delays?|delayed|delaying)\b,1956,30,3,25414,,11.804517195246715,10.0,
delay_family,\b(delays?|delayed|delaying)\b,1957,25,2,45694,,5.471177835164354,12.5,
delay_family,\b(delays?|delayed|delaying)\b,1958,19,2,25521,,7.444849339759414,9.5,
delay_family,\b(delays?|delayed|delaying)\b,1959,49,3,30307,,16.167882007457024,16.333333333333332,
delay_family,\b(delays?|delayed|delaying)\b,1960,9,3,12383,,7.268028749091496,3.0,
delay_family,\b(delays?|delayed|delaying)\b,1961,21,3,10540,,19.924098671726753,7.0,
delay_family,\b(delays?|delayed|delaying)\b,1962,0,1,5189,,0.0,0.0,
delay_family,\b(delays?|delayed|delaying)\b,1963,0,1,6591,,0.0,0.0,
delay_family,\b(delays?|delayed|delaying)\b,1964,0,1,4546,,0.0,0.0,
delay_family,\b(delays?|delayed|delaying)\b,1965,7,1,10682,,6.553079947575361,7.0,
delay_family,\b(delays?|delayed|delaying)\b,1966,15,2,13385,,11.206574523720583,7.5,
delay_family,\b(delays?|delayed|delaying)\b,1967,13,1,15256,,8.521237545883587,13.0,
