variant,model_type,topic,rank,keyword,weight
documented_clean_final,NMF_FALLBACK,6,20,dot,0.10804163626351597
documented_clean_final,NMF_FALLBACK,7,1,xx,0.6135216196045854
documented_clean_final,NMF_FALLBACK,7,2,xx xx,0.5526355307462593
documented_clean_final,NMF_FALLBACK,7,3,customs,0.29434198880783347
documented_clean_final,NMF_FALLBACK,7,4,commissioner customs,0.23822705379191464
documented_clean_final,NMF_FALLBACK,7,5,2021,0.14623386979969902
documented_clean_final,NMF_FALLBACK,7,6,commissioner,0.1417377817582266
documented_clean_final,NMF_FALLBACK,7,7,manifest,0.12865151130429836
documented_clean_final,NMF_FALLBACK,7,8,transhipment,0.12120693538299633
documented_clean_final,NMF_FALLBACK,7,9,chairperson,0.11387763681039206
documented_clean_final,NMF_FALLBACK,7,10,seventeenth,0.11326422505672762
documented_clean_final,NMF_FALLBACK,7,11,carrier,0.11218154582492947
documented_clean_final,NMF_FALLBACK,7,12,beas management,0.11129245518436039
documented_clean_final,NMF_FALLBACK,7,13,bhakra beas,0.11122071841955004
documented_clean_final,NMF_FALLBACK,7,14,beas,0.1111489816547397
documented_clean_final,NMF_FALLBACK,7,15,gazette,0.09945950635894164
documented_clean_final,NMF_FALLBACK,7,16,cargo manifest,0.09863102415385917
documented_clean_final,NMF_FALLBACK,7,17,manifest transhipment,0.09863102415385917
documented_clean_final,NMF_FALLBACK,7,18,sea cargo,0.09863102415385917
documented_clean_final,NMF_FALLBACK,7,19,bhakra,0.09690027465793974
documented_clean_final,NMF_FALLBACK,7,20,authorised carrier,0.09669031829975779
documented_clean_final,NMF_FALLBACK,8,1,medical,0.5822983440117819
documented_clean_final,NMF_FALLBACK,8,2,ayush,0.4710434128660094
documented_clean_final,NMF_FALLBACK,8,3,ayurveda,0.2775157939387353
documented_clean_final,NMF_FALLBACK,8,4,council,0.2594955663409795
documented_clean_final,NMF_FALLBACK,8,5,homeopathy,0.23042435070424197
documented_clean_final,NMF_FALLBACK,8,6,medicine,0.22171598401375703
documented_clean_final,NMF_FALLBACK,8,7,colleges,0.22115127663369646
documented_clean_final,NMF_FALLBACK,8,8,students,0.21398647367705895
documented_clean_final,NMF_FALLBACK,8,9,medical council,0.19097329558593293
documented_clean_final,NMF_FALLBACK,8,10,doctors,0.19046209090687172
documented_clean_final,NMF_FALLBACK,8,11,education,0.16594832984989352
documented_clean_final,NMF_FALLBACK,8,12,medical education,0.153825090121736
documented_clean_final,NMF_FALLBACK,8,13,medical colleges,0.15361367956952635
documented_clean_final,NMF_FALLBACK,8,14,admission,0.14085852551752057
documented_clean_final,NMF_FALLBACK,8,15,council india,0.13621294229931868
documented_clean_final,NMF_FALLBACK,8,16,npa,0.1331594736196912
documented_clean_final,NMF_FALLBACK,8,17,indian medicine,0.1308175070344438
documented_clean_final,NMF_FALLBACK,8,18,graduate,0.12980862570307491
documented_clean_final,NMF_FALLBACK,8,19,degree,0.12364515255272585
documented_clean_final,NMF_FALLBACK,8,20,research,0.1182806857571583
documented_clean_final,NMF_FALLBACK,9,1,act,0.4931248162785126
documented_clean_final,NMF_FALLBACK,9,2,bye,0.3331281774435938
documented_clean_final,NMF_FALLBACK,9,3,board,0.25445198496269417
documented_clean_final,NMF_FALLBACK,9,4,cantonment,0.2486708289545558
documented_clean_final,NMF_FALLBACK,9,5,bye laws,0.2165088678274449
documented_clean_final,NMF_FALLBACK,9,6,order,0.21149847526527651
documented_clean_final,NMF_FALLBACK,9,7,laws,0.21079050569870247
documented_clean_final,NMF_FALLBACK,9,8,orders,0.21042455089061549
documented_clean_final,NMF_FALLBACK,9,9,state,0.20558944798055273
documented_clean_final,NMF_FALLBACK,9,10,laid,0.1872845945953301
documented_clean_final,NMF_FALLBACK,9,11,table,0.17804643017437474
documented_clean_final,NMF_FALLBACK,9,12,power,0.1742189396746679
documented_clean_final,NMF_FALLBACK,9,13,fees,0.16970543684604014
documented_clean_final,NMF_FALLBACK,9,14,57,0.1620327042862461
documented_clean_final,NMF_FALLBACK,9,15,clause,0.16006540978517395
documented_clean_final,NMF_FALLBACK,9,16,control,0.15857413468482612
documented_clean_final,NMF_FALLBACK,9,17,given,0.14190110844211393
documented_clean_final,NMF_FALLBACK,9,18,bye law,0.13960510893807745
documented_clean_final,NMF_FALLBACK,9,19,shall,0.1355072560909134
documented_clean_final,NMF_FALLBACK,9,20,law,0.1329351611575363
documented_clean_final,NMF_FALLBACK,10,1,irdai,0.5476968817544113
documented_clean_final,NMF_FALLBACK,10,2,insurance,0.2854301689261556
documented_clean_final,NMF_FALLBACK,10,3,solvency,0.2668867957466357
documented_clean_final,NMF_FALLBACK,10,4,solvency margin,0.25895768338482905
documented_clean_final,NMF_FALLBACK,10,5,regulatory development,0.256353432308349
documented_clean_final,NMF_FALLBACK,10,6,insurance regulatory,0.256353432308349
documented_clean_final,NMF_FALLBACK,10,7,actuary,0.2559635380587338
documented_clean_final,NMF_FALLBACK,10,8,appointed actuary,0.25452874494721306
documented_clean_final,NMF_FALLBACK,10,9,liabilities,0.2497059784628376
documented_clean_final,NMF_FALLBACK,10,10,assets,0.2261044867638206
documented_clean_final,NMF_FALLBACK,10,11,assets liabilities,0.22331620213324524
documented_clean_final,NMF_FALLBACK,10,12,margin,0.22182284668957508
documented_clean_final,NMF_FALLBACK,10,13,liabilities solvency,0.2181971192555669
documented_clean_final,NMF_FALLBACK,10,14,authority india,0.21185098494806623
documented_clean_final,NMF_FALLBACK,10,15,xx,0.20744599706328143
documented_clean_final,NMF_FALLBACK,10,16,development authority,0.20639054869364076
documented_clean_final,NMF_FALLBACK,10,17,insurance business,0.20620674296623429
documented_clean_final,NMF_FALLBACK,10,18,india assets,0.2012325195652139
documented_clean_final,NMF_FALLBACK,10,19,regulatory,0.17901109350420247
documented_clean_final,NMF_FALLBACK,10,20,financial services,0.1757643937571312
documented_clean_final,NMF_FALLBACK,11,1,pension,0.7024706171380491
documented_clean_final,NMF_FALLBACK,11,2,rbi,0.6742741137515678
documented_clean_final,NMF_FALLBACK,11,3,pension scheme,0.3343387293279882
documented_clean_final,NMF_FALLBACK,11,4,employees,0.2518673238639495
documented_clean_final,NMF_FALLBACK,11,5,scheme,0.24768560451320024
documented_clean_final,NMF_FALLBACK,11,6,cpf,0.2146823412565816
documented_clean_final,NMF_FALLBACK,11,7,option,0.17500117445536542
documented_clean_final,NMF_FALLBACK,11,8,rbi act,0.1479118520737936
documented_clean_final,NMF_FALLBACK,11,9,rbi pension,0.1473007239285801
documented_clean_final,NMF_FALLBACK,11,10,salary,0.1414530349009686
documented_clean_final,NMF_FALLBACK,11,11,average,0.13251730391925903
documented_clean_final,NMF_FALLBACK,11,12,employees pension,0.12015615704547496
documented_clean_final,NMF_FALLBACK,11,13,average salary,0.11586077429744511
documented_clean_final,NMF_FALLBACK,11,14,60 months,0.10899962096440038
documented_clean_final,NMF_FALLBACK,11,15,fund,0.10212594293648113
documented_clean_final,NMF_FALLBACK,11,16,bank,0.10189704969812372
documented_clean_final,NMF_FALLBACK,11,17,months average,0.09998838968397837
documented_clean_final,NMF_FALLBACK,11,18,wage,0.0995310706339861
documented_clean_final,NMF_FALLBACK,11,19,15000,0.09215790443468483
documented_clean_final,NMF_FALLBACK,11,20,12 months,0.08919140310546277
documented_clean_final,NMF_FALLBACK,12,1,recruitment,0.3110961093401958
documented_clean_final,NMF_FALLBACK,12,2,recruitment rules,0.258162496488308
documented_clean_final,NMF_FALLBACK,12,3,probation,0.196419235006684
documented_clean_final,NMF_FALLBACK,12,4,gsr,0.19059360300587314
documented_clean_final,NMF_FALLBACK,12,5,direct recruits,0.18745280302496867
documented_clean_final,NMF_FALLBACK,12,6,promotees,0.1871823263063941
documented_clean_final,NMF_FALLBACK,12,7,recruits,0.1827937810393977
documented_clean_final,NMF_FALLBACK,12,8,contract,0.1659068631583029
documented_clean_final,NMF_FALLBACK,12,9,group,0.1604791163457321
documented_clean_final,NMF_FALLBACK,12,10,engineers,0.14787719907295468
documented_clean_final,NMF_FALLBACK,12,11,direct,0.14414637043921016
documented_clean_final,NMF_FALLBACK,12,12,years,0.14057319551321076
documented_clean_final,NMF_FALLBACK,12,13,contract engineers,0.13415870496786725
documented_clean_final,NMF_FALLBACK,12,14,age,0.1316834150961306
documented_clean_final,NMF_FALLBACK,12,15,prasar,0.12647030595882272
documented_clean_final,NMF_FALLBACK,12,16,notification,0.12191563296348674
documented_clean_final,NMF_FALLBACK,12,17,contract employees,0.12174368148674056
documented_clean_final,NMF_FALLBACK,12,18,prasar bharati,0.12085175469755498
documented_clean_final,NMF_FALLBACK,12,19,rules gsr,0.11983350424118348
documented_clean_final,NMF_FALLBACK,12,20,store,0.11030006004932937
